Code du domaine fonctionnel;Intitulé du domaine fonctionnel;Désignation du domaine fonctionnel Niv 1;Désignation du groupe de domaine fonctionnel ;Remarque ;Description;;;;;;
103SEL;D-SELEC ETUD CONCOURS;GPEDFUDS;Groupe DF 103 Doctorat;Exécution;Sélectionner les étudiants (concours d'entrée, étude de dossier, frais de jury…) et procéder à la Validation des Acquis et de l'Expérience (fonctionnement du service VAE, suivi des stagiaires…);;;;;;
103SPE;D-REAL ENSGT SPECIFIQUES;GPEDFUDS;Groupe DF 103 Doctorat;Exécution;Réaliser les enseignements spécifiques: stages, visites, projets, ateliers..);;;;;;
103TUT;D-TUTORAT ACCOMPGNT;GPEDFUDS;Groupe DF 103 Doctorat;Exécution;Accompagner les étudiants (ex: vacations tutorat, vacations PRL…);;;;;;
105;Biblio & Doc;LOLF_CUMUL;Groupe DF 105 Bibliotheques;Budget;;;;;;;
105ADM;BIB-FONCTIONNEMENT;GPEDFUDS;Groupe DF 105 Bibliotheques;Exécution;Administration et fonctionnement des services de bibliothèques;;;;;;
105DOC;BIB ACQUISITIONS DOCUMENT;GPEDFUDS;Groupe DF 105 Bibliotheques;Exécution;Acquisitions de ressources documentaires tous supports, toutes langues et prêts entre bibliothèques;;;;;;
105ENV;BIB-ENVIRT DOCUMENTAIRE;GPEDFUDS;Groupe DF 105 Bibliotheques;Exécution;Environnement documentaire : équipement des docs, traitement intellectuel des collections, rétroconversion, conservation des collections, portiques anti-vols, signalétique, aménagement immobilier…;;;;;;
105OUV;BIB-OUVERTURE;GPEDFUDS;Groupe DF 105 Bibliotheques;Exécution;Ouverture des bibliothèques (vacations des étudiants , agents de sécurité);;;;;;
106;Rech univ en sc vie;LOLF_CUMUL;Groupe DF 106 Rech Sc de la Vie;Budget;;;;;;;
106ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Administration et fonctionnement des services / unités de recherche et de la direction de soutien à la recherche;;;;;;
106COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Communication et événements scientifiques;;;;;;
106PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Réaliser des programmes de recherche;;;;;;
106PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
106RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
106SRCH;REAL PREST RECHERCHE;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Réaliser des prestations de service (UB Recherche) : utilisation de techniques ou de procédés éprouvés en vue de la réalisation d'un service;;;;;;
106SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 106 Rech Sc de la Vie;Exécution;Réaliser des prestations de service (Valorisation de la Recherche);;;;;;
107;Rech univ en math;LOLF_CUMUL;Groupe DF 107 Rech Mathematiques, stic;Budget;;;;;;;
107ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
107COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Communication et événements scientifiques;;;;;;
107PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Réaliser des programmes de recherche;;;;;;
107PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
107RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
107SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
107SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 107 Rech Mathematiques, stic;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
108;Rech univ en phys;LOLF_CUMUL;Groupe DF 108 Rech physique, chimie;Budget;;;;;;;
108ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
108COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Communication et événements scientifiques;;;;;;
108PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Réaliser des programmes de recherche;;;;;;
108PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
108RI;ACT REL INTERNAT;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Réaliser des actions de relations internationales dans le cadre de la recherche;;;;;;
108SRCH;REAL PREST RECH;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Réaliser des prestations de service (UB Recherche);;;;;;
108SVALO;REAL PREST RECH VALO;GPEDFUDS;Groupe DF 108 Rech physique, chimie;Exécution;Réaliser des prestations de service (Valorisation de la Recherche));;;;;;
109;Rech univ en ph nucl;LOLF_CUMUL;Groupe DF 109 Rech phys nucleaire;Budget;;;;;;;
109ADM;ADM UNITES RECHERCHE;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Administration et fonctionnement des unités de recherche;;;;;;
109COM;COM EVT SCIENTIFIQUES;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Communication et événements scientifiques;;;;;;
109PRCH;REAL PROG RECHERCHE;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Réaliser des programmes de recherche;;;;;;
109PVALO;REAL PROG RECH VALO;GPEDFUDS;Groupe DF 109 Rech phys nucleaire;Exécution;Réaliser des programmes de recherche valorisée;;;;;;
