Groupe1;Groupe2;Perimetre;CFParent;CF;Label;Societe
Services Centraux;DRI;1010;DRI;DRICPE;DRI-CPE;1010
Services Centraux;DRI;1010;DRI;DRIERA;DRI-ERASMUS;1010
Services Centraux;DRI;1010;DRI;DRIEUC;DRI-EUCOR;1010
Services Centraux;DRI;1010;DRI;DRIFCT;DRI-FCT DRI;1010
Services Centraux;DRI;1010;DRI;DRIJAP;DRI-JAPON;1010
Services Centraux;DRI;1010;DRI;DRIMOB;DRI-MOBILITE;1010
Services Centraux;DRI;1010;DRI;DRIMUI;DRI-MUI;1010
Services Centraux;DRI;1010;DRI;DRIPOL;DRI-POL INTER;1010
Composantes;DRT;1010;CPE;DRT;FACULTE DE DROIT;1010
Composantes;DRT;1010;DRT;DRT1;DRT-LOG IMMO ET SECU;1010
Composantes;DRT;1010;DRT;DRT2;DRT-PIL ET LOG COMP;1010
Composantes;DRT;1010;DRT2;DRT2IM;DRT-REPROGRAPHIE;1010
Composantes;DRT;1010;DRT;DRT3;DRT-FORM DN;1010
Composantes;DRT;1010;DRT;DRT4;DRT-FORM DU;1010
Composantes;DRT;1010;DRT;DRT5;DRT-FORM NON DIPLOM;1010
Composantes;DRT;1010;DRT5;DRT5IEJ;DRT-IEJ;1010
Services Centraux;DUN;1010;SCX;DUN;DUN;1010
Services Centraux;DUN;1010;DUN;DUNAUD;DUN-PROD AUDIO DIFF;1010
Services Centraux;DUN;1010;DUN;DUNCCN;DUN-CENTRE CULT NUM;1010
Services Centraux;DUN;1010;DUN;DUNEAD;DUN-EAD;1010
Services Centraux;DUN;1010;DUN;DUNFCT;DUN-FONCT DUN;1010
Services Centraux;DUN;1010;DUN;DUNING;DUN-ING PEDAG MEDIA;1010
Services Centraux;DUN;1010;DUN;DUNMAV;DUN-MAINT AUDIO;1010
Services Centraux;DUN;1010;DUN;DUNPROJ;DUN-PROJ NUM MESR;1010
Services Centraux;DUN;1010;DUN;DUNWEB;DUN-WEB DIFF SCIENT;1010
Services Communs;EAV;1010;SCC;EAV;ESPACE AVENIR;1010
Services Communs;EAV;1010;EAV;EAVENT;EAV-ENTREPRISES;1010
Services Communs;EAV;1010;EAV;EAVETU;EAV-ETUDIANTS;1010
Services Communs;EAV;1010;EAV;EAVFCT;EAV-FONCT EAV;1010
Services Communs;EAV;1010;EAV;EAVJPO;EAV-JPO;1010
Services Communs;EAV;1010;EAV;EAVJU;EAV-JU;1010
Services Communs;EAV;1010;EAV;EAVLY;EAV-INTERV LYCEES;1010
Services Communs;EAV;1010;EAV;EAVNCT;EAV-NCT;1010
Composantes;ECP;1010;CPE;ECP;ECPM;1010
